Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0031,06/28/2022,06/30/2022,BLUE FLAME HEATING AND AI,Repair & Maintenance,Sale,-23.86,
0031,06/27/2022,06/29/2022,McDonald's 1498,Food & Drink,Sale,-20.24,
0031,06/27/2022,06/28/2022,Amazon.com*J79KM6FD3,Merchandise & Inventory,Sale,-26.59,
0031,06/26/2022,06/27/2022,AMZN Mktp US*V12PD0CL3,Merchandise & Inventory,Sale,-5.98,
0031,06/26/2022,06/27/2022,AMZN Mktp US*CI1GK49Z3,Merchandise & Inventory,Sale,-17.02,
0031,06/26/2022,06/26/2022,AUTOMATIC PAYMENT - THANK,,Payment,84.00,
0031,06/16/2022,06/17/2022,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-89.32,
0031,06/16/2022,06/17/2022,CHEVRON 0204384,Gas,Sale,-14.98,
0031,06/16/2022,06/17/2022,McDonald's 10651,Food & Drink,Sale,-9.57,
0031,06/15/2022,06/15/2022,PAYPAL *EBAY US,Merchandise & Inventory,Sale,-7.46,
0031,06/10/2022,06/12/2022,McDonald's 10651,Food & Drink,Sale,-1.10,
0031,06/03/2022,06/05/2022,GEICO  *AUTO,Bills & Utilities,Sale,-877.98,
0031,05/29/2022,05/31/2022,McDonald's 10651,Food & Drink,Sale,-13.19,
0031,05/29/2022,05/30/2022,McDonald's 10651,Food & Drink,Sale,-4.06,
0031,05/28/2022,05/30/2022,BLUE FLAME HEATING AND AI,Repair & Maintenance,Sale,-23.86,
0031,05/26/2022,05/26/2022,AUTOMATIC PAYMENT - THANK,,Payment,80.00,
0031,05/24/2022,05/25/2022,Amazon.com*1R96T7PJ0,Merchandise & Inventory,Sale,-8.80,
0031,05/24/2022,05/25/2022,AMZN Mktp US*1R9668PG0,Merchandise & Inventory,Sale,-20.24,
0031,05/24/2022,05/25/2022,GOOGLE *VOICE,Bills & Utilities,Sale,-10.00,
0031,05/20/2022,05/22/2022,AMZN Mktp US*1L4I699F0,Merchandise & Inventory,Sale,-2.57,
0031,05/17/2022,05/18/2022,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-94.03,
0031,05/16/2022,05/17/2022,Amazon.com*1R0UX3MQ1,Merchandise & Inventory,Sale,-2.24,
0031,05/15/2022,05/16/2022,AMZ*slashare,Repair & Maintenance,Sale,-4.99,
0031,05/15/2022,05/16/2022,McDonald's 10651,Food & Drink,Sale,-7.65,
0031,05/15/2022,05/15/2022,AMZN Mktp US*1R4UH4AT1,Merchandise & Inventory,Sale,-4.76,
0031,05/14/2022,05/15/2022,AMZ*slashare,Repair & Maintenance,Sale,-6.99,
0031,05/11/2022,05/11/2022,PAYPAL *EBAY US,Merchandise & Inventory,Sale,-6.55,
0031,05/10/2022,05/10/2022,AMZN Mktp US*1L89M7BN1,Merchandise & Inventory,Sale,-6.59,
0031,05/09/2022,05/10/2022,AMZN Mktp US*1L0L86VT1,Merchandise & Inventory,Sale,-14.86,
0031,05/08/2022,05/08/2022,PAYPAL *EBAY US,Merchandise & Inventory,Sale,-11.99,
0031,05/06/2022,05/08/2022,AMZN Mktp US*134IV5Z80,Merchandise & Inventory,Sale,-12.10,
0031,05/06/2022,05/08/2022,AMZN Mktp US*1L4WD3ZQ1,Merchandise & Inventory,Sale,-97.99,
0031,05/05/2022,05/06/2022,TMOBILE*WEB ORDER,Office & Shipping,Sale,-44.04,
0031,05/04/2022,05/06/2022,McDonald's 10651,Food & Drink,Sale,-2.96,
0031,05/04/2022,05/05/2022,McDonald's 10651,Food & Drink,Sale,-11.09,
0031,05/02/2022,05/04/2022,TARGET        00003392,Merchandise & Inventory,Sale,-13.86,
0031,05/02/2022,05/04/2022,BLUE FLAME HEATING AND AI,Repair & Maintenance,Sale,-23.86,
